p[0], 0.00          
p[1], 0.00          
p[2],   3.500000E+01
p[3],   8.300000E+01
p[4],   1.250000E+02
ax,   1.250000E+02
s[0], 0.00          
s[1], 0.00          
s[2],  -5.500000E+01
s[3],  -1.270000E+02
s[4],  -1.830000E+02
obj,  -1.830000E+02
x[1], 0.00          
x[2],   5.000000E+00
x[3],   1.200000E+01
x[4],   1.400000E+01
a[1],   5.000000E+00
a[2],   7.000000E+00
a[3],   4.000000E+00
a[4],   3.000000E+00
b,   1.400000E+01
c[1],  -8.000000E+00
c[2],  -1.100000E+01
c[3],  -6.000000E+00
c[4],  -4.000000E+00
y[1],   1.000000E+00
y[2],   5.000000E+00
y[3],   1.449490E+00
y[4],   3.449490E+00
slk_1, 0.00          
slk_3, 0.00          
